date,gs3mo,ff,bofaml_us_aa_oas,bofaml_us_aa_yld,bofaml_us_bbb_oas,bofaml_us_bbb_yld,bofaml_us_hyld_oas,nfci_lin,eurusd,sp500,sveny01,sveny02,sveny05,sveny10,bkeven02,bkeven03,bkeven04,bkeven05,bkeven10,bkeven1f4,bkeven1f9,bkeven5f05,broad,afe,eme,krippner,krippnerlong
22may2003,1.08,1.25,.57999998,3,1.98,4.8200002,6.8600001,-.7361842734473094,-15.871209,683.71936,1.1113,1.3366,2.3659,3.6343,1.08780002593994,1.12730002403259,1.21480000019073,1.31429994106293,1.75269997119904,1.71949994564056,2.45129990577698,2.19709992408752,466.9153367213378,468.722400044723,464.0708254680459,.2425022527359717,.24250226
23may2003,1.08,1.21,.56999999,2.99,1.96,4.8000002,6.8699999,-.7360299825668335,-16.466711,683.86407,1.1286,1.3551,2.3744,3.6331,1.12909996509552,1.16139996051788,1.24109995365143,1.33360004425049,1.74779999256134,1.71060001850128,2.40910005569458,2.16810011863708,466.8020690021085,468.6535273607888,463.892957862492,.2223810387957895,.22238104
26may2003,,1.21,.56,2.99,1.96,4.8000002,6.8699999,-.7347485508237561,-16.661552,,,,,,,,,,,,,,466.8020690021085,468.6535273607888,463.892957862492,.2086320906805064,.2086321
27may2003,1.09,1.3200001,.55000001,2.99,1.9400001,4.8200002,6.8800001,-.7343214069093973,-17.403679,685.80188,1.1151,1.3394,2.3992,3.7255,1.05250000953674,1.08570003509521,1.17470002174377,1.28020000457764,1.76189994812012,1.70959997177124,2.53239989280701,2.24920010566711,466.8309634161946,468.3888782623695,464.3489918748014,.2450836828993656,.24508369
28may2003,1.12,1.29,.56,3.01,1.9299999,4.8200002,6.8899999,-.7338942629950385,-16.02462,685.98456,1.1384,1.3418,2.3883,3.7441,1.04439997673035,1.05889999866486,1.14020001888275,1.24500000476837,1.7451000213623,1.67079997062683,2.54940009117126,2.2506000995636,467.481714062274,469.3049374058966,464.6136881194815,.2779348602974241,.27793485
29may2003,1.1,1.29,.56,2.95,1.92,4.75,6.8699999,-.7334671190806796,-16.177923,685.60828,1.0962,1.28,2.3027,3.647,1.03960001468658,1.05030000209808,1.12969994544983,1.2331999540329,1.72819995880127,1.65380001068115,2.52729988098145,2.22830009460449,466.9551171080449,468.6586701009414,464.2612252998895,.269890576303055,.26989058
30may2003,1.11,1.28,.56,2.97,1.92,4.75,6.8099999,-.7330399751663208,-16.737661,687.06659,1.1338,1.3252,2.3267,3.6702,1.12249994277954,1.10969996452332,1.16970002651215,1.26030004024506,1.74469995498657,1.62899994850159,2.55590009689331,2.23390007019043,467.1680361133195,468.940247606434,464.3742382845967,.268815845305316,.26881585
02jun2003,1.14,1.27,.56,3.04,1.9,4.8099999,6.6599998,-.7316985641207019,-15.460793,687.41986,1.1346,1.3394,2.3844,3.7374,1.12720000743866,1.119500041008,1.18410003185272,1.27680003643036,1.75329995155334,1.65400004386902,2.54649996757507,2.23480010032654,466.9461522853591,468.8104798039594,464.0183150367894,.2923155236308775,.29231551
03jun2003,1.08,1.21,.56999999,2.95,1.91,4.73,6.7399998,-.7312514271054953,-15.896759,687.89032,1.0458,1.2209,2.2674,3.6434,.994199991226196,1.01719999313354,1.11199998855591,1.22969996929169,1.75300002098083,1.70770001411438,2.55999994277954,2.28220009803772,467.2368150433986,469.293921007568,464.0284629672864,.2772291568937144,.27722916
04jun2003,1.05,1.22,.56999999,2.9100001,1.92,4.6999998,6.6999998,-.7308042900902887,-15.6234,689.38995,1.036,1.195,2.2178,3.5966,1.11609995365143,1.09080004692078,1.14919996261597,1.24039995670319,1.71019995212555,1.6114000082016,2.47909998893738,2.18479990959167,466.9623311295308,468.6607291869208,464.2759403458805,.261546069827031,.26154608
05jun2003,1.04,1.26,.56999999,2.95,1.9,4.7199998,6.5799999,-.7303571530750821,-16.339344,689.78461,1.058,1.2476,2.283,3.6467,1.17309999465942,1.16069996356964,1.22049999237061,1.30729997158051,1.75209999084473,1.66129994392395,2.49390006065369,2.20210003852844,466.4021441939585,467.4143376187328,464.7142601344869,.2569353124109483,.2569353
06jun2003,1.05,1.24,.56,2.96,1.88,4.73,6.48,-.7299100160598755,-16.661552,689.54395,1.062,1.2681,2.3214,3.6738,1.1541999578476,1.1583000421524,1.23080003261566,1.32710003852844,1.77079999446869,1.7195999622345,2.46600008010864,2.22079992294312,466.9933685587376,468.5002793495918,464.5856137885196,.2572013444374938,.25720134
09jun2003,1.03,1.25,.55000001,2.8800001,1.87,4.6399999,6.5100002,-.7293614404542108,-15.922322,688.33911,1.005,1.1866,2.2307,3.5924,1.18130004405975,1.16970002651215,1.23389995098114,1.32509994506836,1.75969994068146,1.69700002670288,2.45029997825623,2.20029997825623,467.1964710125121,468.4581839759961,465.1455073039465,.2318743485251948,.23187435
10jun2003,.97000003,1.22,.55000001,2.8,1.87,4.5599999,6.5799999,-.7291785819189891,-15.691817,689.24792,.9596,1.1228,2.1379,3.4969,1.19190001487732,1.16509997844696,1.21930003166199,1.30480003356934,1.73280000686646,1.65330004692078,2.41880011558533,2.16650009155273,467.3346182783845,468.6878516915314,465.1504817813487,.1943549873156009,.19435498
11jun2003,.94,1.25,.55000001,2.8099999,1.86,4.5599999,6.5,-.7289957233837674,-16.10976,690.52319,.9735,1.159,2.1695,3.5105,1.22140002250671,1.19939994812012,1.25100004673004,1.33159995079041,1.74339997768402,1.66059994697571,2.41400003433228,2.16079998016357,466.8104701518058,468.0014233003968,464.8624701185281,.1723243466986671,.17232434
12jun2003,.92000002,1.25,.55000001,2.78,1.86,4.5300002,6.48,-.7288128648485457,-15.990588,690.6264,.9356,1.112,2.1225,3.4729,1.22739994525909,1.19229996204376,1.23769998550415,1.31620001792908,1.73479998111725,1.63689994812012,2.4203999042511,2.15869998931885,466.692324630696,467.9132279012601,464.7007437226181,.1429746180664437,.14297462
13jun2003,.86000001,1.24,.55000001,2.73,1.86,4.4699998,6.46,-.728630006313324,-16.135372,689.63,.9083,1.0912,2.0788,3.4111,1.24790000915527,1.21420001983643,1.25619995594025,1.33070003986359,1.73660004138947,1.63510000705719,2.40659999847412,2.14779996871948,466.3762452736428,467.36670763047,464.7199824193289,.1058814759235145,.10588147
16jun2003,.87,1.33,.52999997,2.78,1.83,4.5100002,6.3099999,-.7292943000793457,-17.008039,691.84381,.9516,1.1718,2.1633,3.4751,1.27680003643036,1.24629998207092,1.28229999542236,1.34839999675751,1.73629999160767,1.61909997463226,2.40610003471375,2.12910008430481,466.2037040028249,467.3652402911423,464.2985088871917,.0934613570042223,.093461357
17jun2003,.89999998,1.24,.51999998,2.8699999,1.79,4.5700002,6.1399999,-.7295157313346863,-16.526033,691.93475,.9893999999999999,1.2381,2.2772,3.5649,1.25839996337891,1.23959994316101,1.2800999879837,1.34449994564056,1.71770000457764,1.60810005664825,2.39000010490417,2.09549999237061,466.2813441200529,467.4817640970089,464.3195687618494,.1182096842771263,.11820968
18jun2003,.88999999,1.22,.51999998,2.9300001,1.78,4.6300001,6.04,-.7297371625900269,-15.691817,691.77948,.9853,1.2671,2.366,3.6691,1.22000002861023,1.2257000207901,1.28219997882843,1.35590004920959,1.73660004138947,1.6570999622345,2.40459990501404,2.12229990959167,466.5911848847822,467.7511694838077,464.6882476556708,.1515352179492446,.15153521
19jun2003,.81,1.22,.51999998,2.8800001,1.79,4.6100001,6.0900002,-.7299585938453674,-15.315002,690.24414,.9055,1.1819,2.3065,3.6635,1.21850001811981,1.22230005264282,1.28279995918274,1.36259996891022,1.76209998130798,1.68869996070862,2.44250011444092,2.16709995269775,466.8471092542853,468.3435689459841,464.4545620362841,.1503434242920994,.15034342
